	English	Arabic	time/m.s
0	"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way–in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.
"	[{'translation_text': 'لقد كان أفضل الأوقات، كان أسوأ الأوقات، كان عصر الحكمة، كان عصر الحماقة، كان عصر الإيمان، كان عصر عدم التكفير، كان موسم النور، كان موسم الظلام، كان ربيع الأمل، كان شتاء اليأس، كان لدينا كل شيء قبلنا، لم يكن لدينا شيء قبلنا، كنا جميعاً نتوجه مباشرة إلى السماء، كنا جميعاً نتوجه مباشرة بطريقة أخرى - باختصار، الفترة كانت حتى الآن مثل الفترة الحالية،'}]	2.87
1	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.24
2	"There were a king with a large jaw and a queen with a plain face, on the throne of England; there were a king with a large jaw and a queen with a fair face, on the throne of France. In both countries it was clearer than crystal to the lords of the State preserves of loaves and fishes, that things in general were settled for ever.
"	[{'translation_text': 'وكان هناك ملك بفك كبير وملكة ذات وجه سهل على كرسي انكلترا. وكان ملك بفك كبير وملكة ذات وجه عادل وعلى كرسي فرنسا. وكان في كلا البلدين اوضح من الكريستال لرؤساء الدولة من الرغاوي والأسماك التي استقرت الامور عموما الى الابد.'}]	2.02
3	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.31
4	"It was the year of Our Lord one thousand seven hundred and seventy-five. Spiritual revelations were conceded to England at that favoured period, as at this. Mrs. Southcott had recently attained her five-and-twentieth blessed birthday, of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster. Even the Cock-lane ghost had been laid only a round dozen of years, after rapping out its messages, as the spirits of this very year last past (supernaturally deficient in originality) rapped out theirs. Mere messages in the earthly order of events had lately come to the English Crown and People, from a congress of British subjects in America: which, strange to relate, have proved more important to the human race than any communications yet received through any of the chickens of the Cock-lane brood.
"	[{'translation_text': 'لقد كانت سنة ملكنا الواحد ألف وسبعمائة وخمسة وسبعون، وقد سلمت المعلومات الروحية إلى انكلترا في تلك الفترة المفضلة، كما هو الحال في هذه اللحظة. وكانت السيدة ساوثكوت قد بلغت مؤخراً عيد ميلادها المبارك الخامس والعاشر، الذي بشرت به شخصية نبوية خاصة في حرس الحياة بالمظهر الرفيع بإعلانها أن الترتيبات قد اتخذت لابتلاع لندن وستمنستر. وحتى شبح اللان لم يُزرع إلا لمدة اثني عشر عاماً، بعد نشر رسائله، كما أن أرواح هذا العام الماضي (الذي كان قاصراً في الأصل) قد انتزعت منها أرواحهم. وكانت الرسائل البسيطة في النظام الأرضي للأحداث قد جاءت مؤخراً إلى التاج البريطاني والشعب البريطاني، من مؤتمر رعايا بريطانيين في أميركا: وهو أمر غريب، أثبت أنه أكثر أهمية للجنس البشري من أي اتصالات تلقاها حتى الآن من خلال أي من دجاج الديك اللاني.'}]	5.82
5	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
6	"France, less favoured on the whole as to matters spiritual than her sister of the shield and trident, rolled with exceeding smoothness down hill, making paper money and spending it. Under the guidance of her Christian pastors, she entertained herself, besides, with such humane achievements as sentencing a youth to have his hands cut off, his tongue torn out with pincers, and his body burned alive, because he had not kneeled down in the rain to do honour to a dirty procession of monks which passed within his view, at a distance of some fifty or sixty yards. It is likely enough that, rooted in the woods of France and Norway, there were growing trees, when that sufferer was put to death, already marked by the Woodman, Fate, to come down and be sawn into boards, to make a certain movable framework with a sack and a knife in it, terrible in history. It is likely enough that in the rough outhouses of some tillers of the heavy lands adjacent to Paris, there were sheltered from the weather that very day, rude carts, bespattered with rustic mire, snuffed about by pigs, and roosted in by poultry, which the Farmer, Death, had already set apart to be his tumbrils of the Revolution. But that Woodman and that Farmer, though they work unceasingly, work silently, and no one heard them as they went about with muffled tread: the rather, forasmuch as to entertain any suspicion that they were awake, was to be atheistical and traitorous.
"	[{'translation_text': 'فبتوجيه من قساوسة مسيحية، قامت بتسلية نفسها، بالإضافة إلى الإنجازات الإنسانية التي حُكم فيها على شاب بقطع يديه، ومزقت لغته بخصائص، وحرق جسده حيّاً، لأنه لم يركع في المطر ليكرم موكباً قذراً من الرهبان الذي مر في وجهه، على مسافة خمسين أو ستين ياردة تقريباً، ومن المرجح بما فيه الكفاية أن تكون جذوره في غابة فرنسا والنرويج قد زرعت أشجاراً، عندما وُضع ذلك المتألم حتى الموت، الذي كان معلماً بالفعل على الخشب، وفاته، لينزل وينظر في الألواح، ليصنع إطاراً منقولاً معيناً مع كيس وسكين فيه، فظيعاً في التاريخ، ومن المحتمل بما فيه الكفاية أن يكون في المنازل الخامة من حشرات الأراضي الثقيلة المجاورة لباريس قد زُوِّجَت، عندما وُضِعَعَت تلك المتألمة حتى الموت، بعلامات من الخشب، وفات، لينزل وينشر في الألواح، ليصنع إطاراً منقولاً معيناً مع كيس وسكين فيه، فظيعا في التاريخ، ومن المحتمل أن يكون في بعض المساكن متاعا، قد سُم، وَمِما، وَمِنَنَنَنَمْ، وَتْ، وَتْ، وَتْ، وَمْ، وَمَنَنَنَنَتْ، وَتْ، وَنْ، وَمْ، وَمْ، وَلَمْنَنَمْ، وَمْ، وَلَنَتَتَتَمَنَنَتْ، وَلَمَمَمَتَتَتْ، وَمَمَتْ، وَمَتَتَمَمَتَتْ، وَ وَ وَتْ، وَ وَ وَ وَ وَ وَ وَ وَتَنَتَتَتَ وَتَ وَ وَتَتَ وَ وَ وَتْ، وَ وَ وَ وَ وَ وَ وَتَتَ وَتَ وَ وَنَ وَ وَ وَ و'}]	19.51
7	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
8	"In England, there was scarcely an amount of order and protection to justify much national boasting. Daring burglaries by armed men, and highway robberies, took place in the capital itself every night; families were publicly cautioned not to go out of town without removing their furniture to upholsterers’ warehouses for security; the highwayman in the dark was a City tradesman in the light, and, being recognised and challenged by his fellow- tradesman whom he stopped in his character of “the Captain,” gallantly shot him through the head and rode away; the mall was waylaid by seven robbers, and the guard shot three dead, and then got shot dead himself by the other four, “in consequence of the failure of his ammunition:” after which the mall was robbed in peace; that magnificent potentate, the Lord Mayor of London, was made to stand and deliver on Turnham Green, by one highwayman, who despoiled the illustrious creature in sight of all his retinue; prisoners in London gaols fought battles with their turnkeys, and the majesty of the law fired blunderbusses in among them, loaded with rounds of shot and ball; thieves snipped off diamond crosses from the necks of noble lords at Court drawing-rooms; musketeers went into St. Giles’s, to search for contraband goods, and the mob fired on the musketeers, and the musketeers fired on the mob, and nobody thought any of these occurrences much out of the common way. In the midst of them, the hangman, ever busy and ever worse than useless, was in constant requisition; now, stringing up long rows of miscellaneous criminals; now, hanging a housebreaker on Saturday who had been taken on Tuesday; now, burning people in the hand at Newgate by the dozen, and now burning pamphlets at the door of Westminster Hall; to-day, taking the life of an atrocious murderer, and to-morrow of a wretched pilferer who had robbed a farmer’s boy of sixpence.
"	"[{'translation_text': 'وفي انكلترا، كان هناك قدر ضئيل من النظام والحماية لتبرير الكثير من المفارقات على الصعيد الوطني. فقد كانت هناك في العاصمة كل ليلة أعمال سرقة على يد رجال مسلحين، وسرقات على الطرق السريعة؛ وحذرت الأسر على الملأ من الخروج من المدينة دون أن تزيل أثاثها إلى أحجام مستهلكي الحلويات من أجل الأمن؛ وكان رجل الطريق في الظلام تاجر مدينة في الضوء، وبعد أن اعترف به وطعنه زميله التجار الذي أوقفه في شخصية ""الكابتن""، أطلق عليه ست مرات على رأسه ورفاقه؛ وكان مركز التسوق قد أطلق عليه سبعة من اللصوص، وأطلق الحارس النار على ثلاثة قتلى، ثم أطلق عليه النار على نفسه من قبل الأربعة الآخرين، ""في نتيجة فشل ذخيرته:"" وبعد ذلك تعرض المركز للسرقة في السلم؛ وأصبح الآن ذلك المتين الرائع، وهو رئيس بلدية لندن، يُطلق النار عليه ويسلّمه على هذا البيت، وأخذ أحد أفراد الطريق السريع، الذي أُطلق النار على المخلوق غير الشرعي في نظر جميع العضلات؛ وهرب السجناء في المعارك التي خاضها مع تسليمهم، وأصبح الآن يُجبر عليهم القانون الذي أُطلق عليه النار من بين هذه السلع.'}]"	9.37
9	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.22
